问题类别/具体内容,提及频次,占比
缴费/充值问题,92,25.56%
发票/账单索取,35,9.72%
停水/无水咨询,34,9.44%
户号/编号查询,31,8.61%
客服/人工咨询,25,6.94%
故障报修/水表,10,2.78%
水价查询,7,1.94%
业务办理/过户,7,1.94%
其他提问: 水费,4,1.11%
其他提问: 绑定不了怎么办,2,0.56%
其他提问: 招聘,2,0.56%
其他提问: 怎么交不了水费了,2,0.56%
其他提问: 查一下,1,0.28%
其他提问: 添加公众号,1,0.28%
其他提问: 啥意思,1,0.28%
其他提问: 426,1,0.28%
其他提问: 缴不了费怎么办,1,0.28%
其他提问: 水费查询,1,0.28%
其他提问: 这个月水费怎么还没有通知？,1,0.28%
其他提问: 春节期间各小区的缴水工作站正常营业嘛,1,0.28%
其他提问: 新疆米东区水费，能不能在网上交？,1,0.28%
其他提问: 现在能交水费吗？,1,0.28%
其他提问: 怎么交不了水费,1,0.28%
其他提问: 费用,1,0.28%
其他提问: 11,1,0.28%
其他提问: 怎么开通水,1,0.28%
其他提问: 6502388493418,1,0.28%
其他提问: 2302019427,1,0.28%
其他提问: 卡丢了,1,0.28%
其他提问: 没有水,1,0.28%
其他提问: 哈喽,1,0.28%
其他提问: 到现在也没有进我的冲直账户,1,0.28%
其他提问: 查水费,1,0.28%
其他提问: 碗饮料瓜子羊肉,1,0.28%
其他提问: 在哪儿装,1,0.28%
其他提问: 友好路新村路听水呀？,1,0.28%
其他提问: 1月份水费12，75元,1,0.28%
其他提问: 水费怎么交啊,1,0.28%
其他提问: 请你们不要坑老百姓。,1,0.28%
其他提问: 投诉你们,1,0.28%
其他提问: 线上缴纳税费,1,0.28%
其他提问: 更改用户名,1,0.28%
其他提问: 水卡丢了  这么查找水卡上面的号码,1,0.28%
其他提问: 网上可以付款吗,1,0.28%
其他提问: 水费有异议，请复查。,1,0.28%
其他提问: 我们这个水费一直不发送过来,1,0.28%
其他提问: 查询我的水费,1,0.28%
其他提问: 3007325401,1,0.28%
其他提问: 远程,1,0.28%
其他提问: 又预付二十元,1,0.28%
其他提问: 这个卡怎么绑定,1,0.28%
其他提问: 怎样给别的房子交水费？,1,0.28%
其他提问: 怎么查自己家水费账户,1,0.28%
其他提问: 交不了费,1,0.28%
其他提问: 怎么绑定的,1,0.28%
其他提问: 怎么登录,1,0.28%
其他提问: 没有记录,1,0.28%
其他提问: 你好，有人在吗？,1,0.28%
其他提问: 0001853101,1,0.28%
其他提问: 3004571606,1,0.28%
其他提问: 怎么绑定,1,0.28%
其他提问: 异常,1,0.28%
其他提问: 水利集团中午休息吗？,1,0.28%
其他提问: 新 A1LU59,1,0.28%
其他提问: 查询,1,0.28%
其他提问: 没有水，水阀不起作用,1,0.28%
其他提问: 941,1,0.28%
其他提问: 未到账怎么回事,1,0.28%
其他提问: 米东区梧桐山畔小区能不能绑定,1,0.28%
其他提问: 每月什么时候交水费,1,0.28%
其他提问: 访客1770353476986,1,0.28%
其他提问: 达坂城区,1,0.28%
其他提问: ，，，,1,0.28%
其他提问: 为什么我绑定不了用户,1,0.28%
其他提问: 公众号如何交水费,1,0.28%
其他提问: 换水卡需要带什么证件,1,0.28%
其他提问: 2023090433,1,0.28%
其他提问: 水费费怎么查询,1,0.28%
其他提问: 电表有问题,1,0.28%
其他提问: 怎么看每月用水量,1,0.28%
其他提问: 为啥绑不了帐号,1,0.28%
其他提问: 二次供水加价,1,0.28%
其他提问: 更改名字需要什么,1,0.28%
其他提问: 水费交了 还是没有水,1,0.28%
其他提问: 水投,1,0.28%
其他提问: 水务公司在哪个位置,1,0.28%
其他提问: 哦哦,1,0.28%
其他提问: 我往水里投币怎么没进水这是怎么回事？,1,0.28%
其他提问: 投诉,1,0.28%
其他提问: 水费怎么缴纳,1,0.28%
其他提问: 水费怎么交不了,1,0.28%
其他提问: 12月-1月费用已交。,1,0.28%
其他提问: 如何缴利用服务号纳水费,1,0.28%
其他提问: 这水平,1,0.28%
其他提问: 你好，,1,0.28%
其他提问: 人力服务,1,0.28%
其他提问: 交水费怎么交,1,0.28%
其他提问: 为什么绑定不了,1,0.28%
其他提问: 怎么叫水费,1,0.28%
其他提问: 请回电13999941451，赵女士,1,0.28%
其他提问: 中水,1,0.28%
其他提问: 留言也留不上！,1,0.28%
其他提问: 专票在哪里下载,1,0.28%
其他提问: 远程开阀,1,0.28%
其他提问: 春光小区十一号楼二单元602,1,0.28%
其他提问: 3011567601,1,0.28%
其他提问: سۈ. پۈل. تۈلەيدىغان.,1,0.28%
其他提问: 刚把水费交上，还是没有水请问怎么开通,1,0.28%
其他提问: 只知道地址可以吗？,1,0.28%
其他提问: 怎么没有内容呢,1,0.28%
其他提问: su,1,0.28%
其他提问: 我交的水费手机怎么看不见,1,0.28%
其他提问: 交水费,1,0.28%
其他提问: 待签用户什么意思,1,0.28%
其他提问: 123,1,0.28%
其他提问: 0000063602,1,0.28%
其他提问: 怎么查水费,1,0.28%
其他提问: 表卡名称,1,0.28%
其他提问: 你好吗,1,0.28%
其他提问: 我家要改水，麻烦你们关下水,1,0.28%
其他提问: 水卡可以补吗,1,0.28%
